class,retro_templates
UNK,[#8:4]-[C:3](=[O;D1;H0:5])-[CH;D3;+0:1](-[#8:2])-[O;H0;D2;+0:7]-[C;D1;H3:6]>>Br-[CH;D3;+0:1](-[#8:2])-[C:3](-[#8:4])=[O;D1;H0:5].[C;D1;H3:6]-[O-;H0;D1:7]
UNK,[#7;a:7]:[c:6]1:[#7;a:5]:[#7;a:4]:[c:3]:[c:2]:1/[CH;D2;+0:1]=[C;H0;D3;+0:14]1\[#7:13]-[C:11](=[O;D1;H0:12])-[#7:10]-[C:9]-1=[O;D1;H0:8]>>O=[CH;D2;+0:1]-[c:2]1:[c:3]:[#7;a:4]:[#7;a:5]:[c:6]:1:[#7;a:7].[O;D1;H0:8]=[C:9]1-[#7:10]-[C:11](=[O;D1;H0:12])-[#7:13]-[CH2;D2;+0:14]-1
UNK,[NH2;D1;+0:3]-[CH2;D2;+0:1]-[c:2]>>Br-[CH2;D2;+0:1]-[c:2].[NH3;D0;+0:3]
UNK,[C:5]-[O;H0;D2;+0:6]-[S;H0;D4;+0:1](-[C;D1;H3:2])(=[O;D1;H0:3])=[O;D1;H0:4]>>Cl-[S;H0;D4;+0:1](-[C;D1;H3:2])(=[O;D1;H0:3])=[O;D1;H0:4].[C:5]-[OH;D1;+0:6]
UNK,[C:2]#[CH;D1;+0:1]>>C-[Si](-C)(-C)-[C;H0;D2;+0:1]#[C:2]
UNK,[C:4]-[N;H0;D3;+0:5](-[C:6]=[O;D1;H0:7])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]-[NH;D2;+0:5]-[C:6]=[O;D1;H0:7]
UNK,[C:5]-[N;H0;D3;+0:6](-[C:7])-[C;H0;D3;+0:3](=[O;D1;H0:4])-[NH;D2;+0:2]-[C:1]>>[C:1]-[N;H0;D2;+0:2]=[C;H0;D2;+0:3]=[O;D1;H0:4].[C:5]-[NH;D2;+0:6]-[C:7]
UNK,[O;D1;H0:3]=[C:2]-[OH;D1;+0:1]>>C-[O;H0;D2;+0:1]-[C:2]=[O;D1;H0:3]
UNK,[#7;a:4]:[c:3](:[#7;a:5]:[#7;a:6])-[CH;D3;+0:1](-[C:2])-[NH;D2;+0:8]-[C:7]>>O-[CH;D3;+0:1](-[C:2])-[c:3](:[#7;a:4]):[#7;a:5]:[#7;a:6].[C:7]-[NH2;D1;+0:8]
UNK,[#7;a:5]:[c:4]:[c:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:6]-[c:7]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[c:4]:[#7;a:5].[NH2;D1;+0:6]-[c:7]
UNK,[C;D1;H2:1]=[C:2]1-[C:3]2-[#8:4]-[C:5](-[C:6]-1=[C;D1;H2:7])-[C;H0;D3;+0:8]1=[C;H0;D3;+0:10]-2-[CH2;D2;+0:11]-[CH;D3;+0:15](-[C:13](-[C;D1;H3:12])=[O;D1;H0:14])-[CH2;D2;+0:16]-[CH2;D2;+0:9]-1>>[C;D1;H2:1]=[C:2]1-[C:3]2-[#8:4]-[C:5](-[C:6]-1=[C;D1;H2:7])-[C;H0;D3;+0:8](=[CH2;D1;+0:9])-[C;H0;D3;+0:10]-2=[CH2;D1;+0:11].[C;D1;H3:12]-[C:13](=[O;D1;H0:14])-[CH;D2;+0:15]=[CH2;D1;+0:16]
UNK,[#8:3]-[C:4](=[O;D1;H0:5])-[CH;D2;+0:6]=[CH;D2;+0:1]-[C:2]>>O=[CH;D2;+0:1]-[C:2].[#8:3]-[C:4](=[O;D1;H0:5])-[CH;D2;+0:6]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1
UNK,[C:2]-[N;H0;D3;+0:3](-[C:4])-[CH3;D1;+0:1]>>O=[CH2;D1;+0:1].[C:2]-[NH;D2;+0:3]-[C:4]
UNK,[#7:4]-[C:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[N;H0;D3;+0:6](-[C;D1;H3:5])-[C;D1;H3:7]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]-[#7:4].[C;D1;H3:5]-[NH;D2;+0:6]-[C;D1;H3:7]
UNK,[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[NH;D2;+0:5]-[C:4]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[C:4]-[NH2;D1;+0:5]
UNK,[C:3]-[S;H0;D2;+0:4]-[CH2;D2;+0:1]-[c:2]>>Br-[CH2;D2;+0:1]-[c:2].[C:3]-[SH;D1;+0:4]
UNK,[C:4]-[NH;D2;+0:5]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Cl-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]-[NH2;D1;+0:5]
UNK,[C:5]-[N;H0;D3;+0:6](-[C:7])-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4].[C:5]-[NH;D2;+0:6]-[C:7]
UNK,[C:2]-[CH;D3;+0:1](-[C:3])-[NH;D2;+0:5]-[C:4]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3].[C:4]-[NH2;D1;+0:5]
UNK,[C:5]-[NH;D2;+0:6]-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4].[C:5]-[NH2;D1;+0:6]
UNK,[C;D1;H3:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[O;H0;D2;+0:4]-[c:5]>>Cl-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[OH;D1;+0:4]-[c:5]
UNK,[#7:3]-[C:4](=[O;D1;H0:5])-[N;H0;D3;+0:6](-[C:7]=[O;D1;H0:8])-[CH2;D2;+0:1]-[C:2]>>Cl-[CH2;D2;+0:1]-[C:2].[#7:3]-[C:4](=[O;D1;H0:5])-[NH;D2;+0:6]-[C:7]=[O;D1;H0:8]
UNK,[#7;a:5]:[c:4]:[c:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:7]-[C:6]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[c:4]:[#7;a:5].[C:6]-[NH2;D1;+0:7]
UNK,[C:8]-[N;H0;D3;+0:9](-[C;D1;H3:10])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[#8:3]-[C:4](-[C;D1;H3:5])(-[C;D1;H3:6])-[C;D1;H3:7]>>C-C(-C)(-C)-O-C(=O)-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[#8:3]-[C:4](-[C;D1;H3:5])(-[C;D1;H3:6])-[C;D1;H3:7].[C:8]-[NH;D2;+0:9]-[C;D1;H3:10]
UNK,[c:7]:[c;H0;D3;+0:6](:[c:8])-[c;H0;D3;+0:1]1:[#7;a:2]:[c:3]:[#7;a:4]:[c:5]:1>>I-[c;H0;D3;+0:1]1:[#7;a:2]:[c:3]:[#7;a:4]:[c:5]:1.O-B(-O)-[c;H0;D3;+0:6](:[c:7]):[c:8]
UNK,[C;D1;H3:4]-[N;H0;D3;+0:5](-[C;D1;H3:6])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[C;D1;H3:4]-[NH;D2;+0:5]-[C;D1;H3:6]
UNK,[C:5]-[O;H0;D2;+0:6]-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4].[C:5]-[OH;D1;+0:6]
UNK,[NH2;D1;+0:1]-[c:2]>>O=[N+;H0;D3:1](-[O-])-[c:2]
UNK,[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[N;H0;D3;+0:5](-[C:4])-[C:6]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[C:4]-[NH;D2;+0:5]-[C:6]
UNK,[C:1]#[C;H0;D2;+0:2]-[C@;H0;D4;+0:7](-[OH;D1;+0:8])(-[c:9])-[C:4](-[F;D1;H0:3])(-[F;D1;H0:5])-[F;D1;H0:6]>>[C:1]#[CH;D1;+0:2].[F;D1;H0:3]-[C:4](-[F;D1;H0:5])(-[F;D1;H0:6])-[C;H0;D3;+0:7](=[O;H0;D1;+0:8])-[c:9]
UNK,[O;D1;H0:3]=[C;H0;D3;+0:4](-[NH;D2;+0:5]-[C:6]=[O;D1;H0:7])-[NH;D2;+0:1]-[c:2]>>[NH2;D1;+0:1]-[c:2].[O;D1;H0:3]=[C;H0;D2;+0:4]=[N;H0;D2;+0:5]-[C:6]=[O;D1;H0:7]
UNK,[#7;a:5]:[#7;a:6]:[c:7]-[NH;D2;+0:8]-[S;H0;D4;+0:1](-[C:2])(=[O;D1;H0:3])=[O;D1;H0:4]>>Cl-[S;H0;D4;+0:1](-[C:2])(=[O;D1;H0:3])=[O;D1;H0:4].[#7;a:5]:[#7;a:6]:[c:7]-[NH2;D1;+0:8]
UNK,[#16:4]-[C@H;D3;+0:5](-[c:6])-[C@H;D3;+0:7](-[NH;D2;+0:8]-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3])-[C:9](-[#7:10])=[O;D1;H0:11]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#16:4]-[C@@H;D3;+0:5](-[c:6])-[C@@H;D3;+0:7](-[NH2;D1;+0:8])-[C:9](-[#7:10])=[O;D1;H0:11]
UNK,[#7;a:4]:[c:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:6]-[C:5]>>C-C-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[#7;a:4].[C:5]-[NH2;D1;+0:6]
UNK,[#7;a:2]:[c;H0;D3;+0:1](:[#7;a:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[#7;a:3].O-B(-O)-[c;H0;D3;+0:4](:[c:5]):[c:6]
UNK,[#8;a:7]:[c:6]1:[c:5]:[#7;a:4]:[c:3]:[#7;a:2]:[c;H0;D3;+0:1]:1-[NH;D2;+0:9]-[C:8]>>Cl-[c;H0;D3;+0:1]1:[#7;a:2]:[c:3]:[#7;a:4]:[c:5]:[c:6]:1:[#8;a:7].[C:8]-[NH2;D1;+0:9]
UNK,[#7;a:2]:[c;H0;D3;+0:1](:[#7;a:3])-[NH;D2;+0:4]-[c:5]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[#7;a:3].[NH2;D1;+0:4]-[c:5]
UNK,[#7;a:5]:[#8;a:4]:[c:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[N;H0;D3;+0:7](-[C:6])-[C:8]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[#8;a:4]:[#7;a:5].[C:6]-[NH;D2;+0:7]-[C:8]
UNK,[Br;H0;D1;+0:1]-[CH2;D2;+0:2]-[c:3]>>O=C1-C-C-C(=O)-N-1-[Br;H0;D1;+0:1].[CH3;D1;+0:2]-[c:3]
UNK,[C:4]-[C:3]=[C;H0;D3;+0:1](-[C:2])-[c;H0;D3;+0:5](:[c:6]):[c:7]>>F-C(-F)(-F)-S(=O)(=O)-O-[C;H0;D3;+0:1](-[C:2])=[C:3]-[C:4].O-B(-O)-[c;H0;D3;+0:5](:[c:6]):[c:7]
UNK,[C:5]-[O;H0;D2;+0:6]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]=[C;D1;H2:4]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]=[C;D1;H2:4].[C:5]-[OH;D1;+0:6]
UNK,[#7:1]-[C:2](=[O;D1;H0:3])-[N;H0;D3;+0:4](-[C:5])-[C;H0;D3;+0:8](=[O;D1;H0:9])-[NH;D2;+0:7]-[C;D1;H3:6]>>[#7:1]-[C:2](=[O;D1;H0:3])-[NH;D2;+0:4]-[C:5].[C;D1;H3:6]-[N;H0;D2;+0:7]=[C;H0;D2;+0:8]=[O;D1;H0:9]
UNK,[C:4]-[NH;D2;+0:5]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]-[NH2;D1;+0:5]
UNK,[C:4]-[NH;D2;+0:5]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]>>F-C(-F)(-F)-C-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[C:4]-[NH2;D1;+0:5]
UNK,[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[NH;D2;+0:7]-[C@@H;D3;+0:5](-[C:4])-[C;D1;H3:6]>>F-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[C:4]-[C@@H;D3;+0:5](-[C;D1;H3:6])-[NH3+;D1:7]
UNK,[#7;a:4]:[c:3]:[c;H0;D3;+0:1](:[#7;a:2])-[NH;D2;+0:5]-[c:6]1:[c:7]:[#7;a:8]:[#7;a:9]:[c:10]:1>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4].[NH2;D1;+0:5]-[c:6]1:[c:7]:[#7;a:8]:[#7;a:9]:[c:10]:1
UNK,[O;D1;H0:3]=[C:2]-[OH;D1;+0:1]>>C-C-[O;H0;D2;+0:1]-[C:2]=[O;D1;H0:3]
UNK,[#7;a:1]:[c:2]-[CH;D3;+0:3](-[C:4])-[CH2;D2;+0:5]-[C:6]>>[#7;a:1]:[c:2]-[C;H0;D3;+0:3](-[C:4])=[CH;D2;+0:5]-[C:6]
UNK,[#7;a:4]:[c:3](:[#7;a:5])-[C;H0;D3;+0:1](-[NH2;D1;+0:6])=[O;D1;H0:2]>>C-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3](:[#7;a:4]):[#7;a:5].[NH3;D0;+0:6]
UNK,[c:7]:[c;H0;D3;+0:6](:[c:8])-[c;H0;D3;+0:1]1:[#7;a:2]:[c:3]:[#7;a:4]:[c:5]:1>>Cl-[c;H0;D3;+0:1]1:[#7;a:2]:[c:3]:[#7;a:4]:[c:5]:1.O-B(-O)-[c;H0;D3;+0:6](:[c:7]):[c:8]
UNK,[C:2]-[NH;D2;+0:1]-[C:3]>>C-C(-C)(-C)-O-C(=O)-[N;H0;D3;+0:1](-[C:2])-[C:3]
UNK,[#7;a:3]:[n;H0;D3;+0:4](-[CH2;D2;+0:1]-[C:2]):[c:5]-[C:6](-[#8:7])=[O;D1;H0:8]>>Br-[CH2;D2;+0:1]-[C:2].[#7;a:3]:[nH;D2;+0:4]:[c:5]-[C:6](-[#8:7])=[O;D1;H0:8]
UNK,[#16;a:5]:[c:4]-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[NH;D2;+0:10]-[c:8](:[#7;a:9]):[c:7]:[#7;a:6]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4]:[#16;a:5].[#7;a:6]:[c:7]:[c:8](:[#7;a:9])-[NH2;D1;+0:10]
UNK,[O;D1;H0:3]=[C:2]-[CH2;D2;+0:1]-[O;H0;D2;+0:4]-[c:5]>>Br-[CH2;D2;+0:1]-[C:2]=[O;D1;H0:3].[OH;D1;+0:4]-[c:5]
UNK,[C:1]-[NH;D2;+0:2]-[C;H0;D3;+0:3](=[S;D1;H0:4])-[NH;D2;+0:6]-[C:5]>>[C:1]-[N;H0;D2;+0:2]=[C;H0;D2;+0:3]=[S;D1;H0:4].[C:5]-[NH2;D1;+0:6]
UNK,[#7:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH;D2;+0:8]-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#7:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH2;D1;+0:8]
UNK,[C:2]-[CH2;D2;+0:1]-[OH;D1;+0:3]>>C-O-[C;H0;D3;+0:1](-[C:2])=[O;H0;D1;+0:3]
UNK,[#7:1]-[C:2](=[O;D1;H0:3])-[CH2;D2;+0:4]-[CH2;D2;+0:5]-[O;H0;D2;+0:7]-[C:6]>>[#7:1]-[C:2](=[O;D1;H0:3])-[CH;D2;+0:4]=[CH2;D1;+0:5].[C:6]-[OH;D1;+0:7]
UNK,[CH3;D1;+0:1]-[NH;D2;+0:2]-[c:3]>>O=[CH2;D1;+0:1].[NH2;D1;+0:2]-[c:3]
UNK,[#16;a:3]:[c;H0;D3;+0:2](:[#7;a:4])-[I;H0;D1;+0:1]>>I-C-[I;H0;D1;+0:1].N-[c;H0;D3;+0:2](:[#16;a:3]):[#7;a:4]
UNK,[#7;a:5]:[c:4]:[#7;a:3]:[c;H0;D3;+0:1](:[c:2])-[N;H0;D3;+0:7](-[C:6])-[C:8]>>Cl-[c;H0;D3;+0:1](:[c:2]):[#7;a:3]:[c:4]:[#7;a:5].[C:6]-[NH;D2;+0:7]-[C:8]
UNK,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:4]-[c:5]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[NH2;D1;+0:4]-[c:5]
UNK,[#7;a:4]:[#8;a:3]:[c:2]-[CH2;D2;+0:1]-[n;H0;D3;+0:6](:[#7;a:5]):[c:7]:[c:8]:[#7;a:9]>>Cl-[CH2;D2;+0:1]-[c:2]:[#8;a:3]:[#7;a:4].[#7;a:5]:[nH;D2;+0:6]:[c:7]:[c:8]:[#7;a:9]
UNK,[OH;D1;+0:1]-[c:2]>>C-C(-C)(-C)-[Si](-C)(-C)-[O;H0;D2;+0:1]-[c:2]
UNK,[C:2]-[OH;D1;+0:1]>>C-C(-C)(-C)-[Si](-C)(-C)-[O;H0;D2;+0:1]-[C:2]
UNK,[#7;a:3]1:[#7;a:2]:[c;H0;D3;+0:1](-[c;H0;D3;+0:6]2:[c:7]:[#7;a:8]:[#7;a:9]:[c:10]:2):[c:5]:[c:4]:1>>Br-[c;H0;D3;+0:1]1:[#7;a:2]:[#7;a:3]:[c:4]:[c:5]:1.C-C1(-C)-O-B(-[c;H0;D3;+0:6]2:[c:7]:[#7;a:8]:[#7;a:9]:[c:10]:2)-O-C-1(-C)-C
UNK,[#7;a:4]:[c:3]:[c:2](-[NH2;D1;+0:1]):[c:5]:[#7;a:6]>>O=[N;H0;D2;+0:1]-[c:2](:[c:3]:[#7;a:4]):[c:5]:[#7;a:6]
UNK,[#7:4]-[C:3](=[O;D1;H0:5])-[C:2]-[NH2;D1;+0:1]>>C-C(-C)(-C)-O-C(=O)-[NH;D2;+0:1]-[C:2]-[C:3](-[#7:4])=[O;D1;H0:5]
UNK,[#7;a:4]:[#7;a:5]:[c:6]-[NH;D2;+0:7]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[#7;a:4]:[#7;a:5]:[c:6]-[NH2;D1;+0:7]
UNK,[C:4]-[N;H0;D3;+0:5](-[C:6])-[CH;D3;+0:1](-[C:2])-[C:3]>>O-[CH;D3;+0:1](-[C:2])-[C:3].[C:4]-[NH;D2;+0:5]-[C:6]
UNK,[C:4]#[C;H0;D2;+0:5]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]#[CH;D1;+0:5]
UNK,[O;D1;H0:2]=[C;H0;D3;+0:1](-[c:3])-[NH;D2;+0:4]-[c:5]1:[#7;a:6]:[#7;a:7]:[#7;a:8]:[#7;a:9]:1>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[NH2;D1;+0:4]-[c:5]1:[#7;a:6]:[#7;a:7]:[#7;a:8]:[#7;a:9]:1
UNK,[C:2]-[NH2;D1;+0:1]>>C-C(-C)(-C)-O-C(=O)-[NH;D2;+0:1]-[C:2]
UNK,[#7:4]=[#7:5]-[N;H0;D3;+0:6](-[c:7])-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3]>>C-C(=O)-O-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[#7:4]=[#7:5]-[NH;D2;+0:6]-[c:7]
UNK,[C:4]-[N;H0;D3;+0:5](-[c:6])-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[C:4]-[NH;D2;+0:5]-[c:6]
UNK,[c:4]-[O;H0;D2;+0:3]-[CH2;D2;+0:1]-[c:2]>>Cl-[CH2;D2;+0:1]-[c:2].[OH;D1;+0:3]-[c:4]
UNK,[C:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[O;H0;D1;+0:4]
UNK,[C;D1;H3:2]-[CH;D3;+0:1](-[C;D1;H3:3])-[O;H0;D2;+0:6]-[C:5]=[O;D1;H0:4]>>O-[CH;D3;+0:1](-[C;D1;H3:2])-[C;D1;H3:3].[O;D1;H0:4]=[C:5]-[OH;D1;+0:6]
UNK,[#16:4]-[N;H0;D3;+0:5](-[C:6])-[CH2;D2;+0:1]-[c:2]:[#7;a:3]>>Br-[CH2;D2;+0:1]-[c:2]:[#7;a:3].[#16:4]-[NH;D2;+0:5]-[C:6]
UNK,[C:7]-[N;H0;D3;+0:8](-[C:9])-[c;H0;D3;+0:1]1:[#7;a:2]:[c:3]:[#7;a:4]:[c:5]:[c:6]:1>>Cl-[c;H0;D3;+0:1]1:[#7;a:2]:[c:3]:[#7;a:4]:[c:5]:[c:6]:1.[C:7]-[NH;D2;+0:8]-[C:9]
UNK,[#8:3]-[C:2]-[CH2;D2;+0:1]-[N;H0;D3;+0:5](-[C:4])-[C:6]>>Br-[CH2;D2;+0:1]-[C:2]-[#8:3].[C:4]-[NH;D2;+0:5]-[C:6]
UNK,[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[N;H0;D3;+0:8]1-[C:7]-[C:6]-[C@@H;D3;+0:5](-[F;D1;H0:4])-[C:9]-1>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[F;D1;H0:4]-[C@@H;D3;+0:5]1-[C:6]-[C:7]-[NH;D2;+0:8]-[C:9]-1
UNK,[c:2]-[CH2;D2;+0:1]-[O;H0;D2;+0:3]-[c:4]>>Br-[CH2;D2;+0:1]-[c:2].[OH;D1;+0:3]-[c:4]
